message,is_threat
Your security system isn't as good as you think it is.,1
The museum exhibit we discussed opens this Friday evening.,0
I'll release all your private data online if you don't comply.,1
Just wanted to thank you for your help with the project yesterday!,0
Keep pushing me and see how quickly your life falls apart.,1
The city council meeting has been rescheduled to next Tuesday.,0
I've got people who can hurt you without leaving any evidence.,1
Would you be interested in joining our book club next month?,0
"Next time you're walking alone at night, remember I'm watching.",1
The school fundraiser starts on Monday and runs through Friday.,0
I'll make sure everyone sees those messages you thought were private.,1
Just planted those tomato seeds you gave me last week!,0
Your pet would be so easy to poison. Think about that.,1
The networking event has been moved to the Riverside Hotel.,0
I'll destroy your reputation at work if you don't give me what I want.,1
Could you feed my fish while I'm away for the weekend?,0
I know exactly what time your house is empty every day.,1
The hiking trail we discussed is beautiful this time of year.,0
Either you drop the charges or your family becomes my new target.,1
Just sent you the notes from yesterday's brainstorming session.,0
I'll make sure you never feel safe in your own home again.,1
Would you like to join us for dinner on Saturday evening?,0
Keep ignoring me and see what happens to those you love.,1
The art gallery opening is this Friday from 7-10pm.,0
I've been saving screenshots of all your activities online.,1
Just checking if you received the documents I mailed last week.,0
Cross me again and you'll be looking for a new place to live.,1
The yoga class has moved to the park for summer sessions.,0
I know people who can make it look like an accident.,1
Do you have any recommendations for good sushi restaurants?,0
Your children would be so easy to approach after school.,1
The farmers market will be open on Saturday from 9am-2pm.,0
I'll make sure everyone knows what you did that night.,1
Just wanted to confirm our meeting time for tomorrow afternoon.,0
Keep avoiding my calls and see how quickly I can find you.,1
The software update should be installed before Friday.,0
I've been taking pictures of you without you knowing it.,1
Could you send me that recipe for chocolate chip cookies?,0
One word from me and your marriage is over. Think about that.,1
The workshop registration deadline is this Thursday at 5pm.,0
I'll make your worst nightmares come true if you don't pay up.,1
Just finished watching that documentary you recommended!,0
Your car is very easy to recognize in the parking lot every day.,1
The neighborhood block party is scheduled for next Saturday.,0
Either you back off or I start revealing your secrets one by one.,1
Would you mind dropping off these books at the library for me?,0
I know what medication you take. Would be a shame if it got tampered with.,1
The concert tickets go on sale tomorrow morning at 9am.,0
I'll destroy your professional reputation with one email.,1
Just wanted to check if you're still available to meet up this weekend.,0
Keep testing me and see what happens to your precious home.,1
The committee vote has been postponed until next Monday.,0
I've been documenting all your movements for weeks now.,1
Could you recommend a good dentist in this area?,0
Your office would look different with all the windows broken.,1
The charity fundraiser starts next Tuesday and runs through Friday.,0
I'll make sure everyone knows what you're really hiding.,1
Just sent you the contact information for the consultant we discussed.,0
Answer my messages or you'll regret the day you met me.,1
Would you be interested in joining our hiking group this weekend?,0
Keep ignoring me and I'll start visiting your workplace instead.,1
The virtual conference login details will be sent on Thursday.,0
I've got enough information to destroy your professional life completely.,1
Just wanted to wish you a safe and happy holiday weekend!,0
"Next time you're home alone, check all your locks carefully.",1
The city council meeting is open to public comments this week.,0
I'll release these recordings if you don't do exactly as I say.,1
Could you help me move some furniture this weekend?,0
I know exactly when you're home alone. Very predictable schedule.,1
The library workshop has been rescheduled to next Wednesday.,0
Either you pay what you owe or your family finds out everything.,1
Just checking if you need any help preparing for the presentation.,0
Keep refusing to answer and see what happens to your car tomorrow.,1
The volunteer orientation is this Saturday at the community center.,0
I've got people watching your house right now as we speak.,1
Would you like to join our study group for the upcoming exam?,0
Your job wouldn't be so secure if your boss saw these messages.,1
The garden club meeting has been moved to the community center.,0
I'll make sure everyone in your circle knows what you did to me.,1
Just tried that new restaurant you recommended downtown!,0
Answer my calls or I'll start showing up at places you frequent.,1
Could you send me the address for the dinner party?,0
I know which routes you take home. Very predictable patterns.,1
The school board meeting is open to parents this Thursday evening.,0
I'll destroy everything you've built if you keep ignoring me.,1
Would you mind feeding my dog while I'm away for the day?,0
Your family would be devastated if something happened to you.,1
The farmers market has moved to the downtown location for summer.,0
Keep blocking my number and see what happens when I find you.,1
Just finished that book you recommended - it was excellent!,0
I'll make sure your employer sees every inappropriate message you've sent.,1
Could you recommend a good plumber in the area?,0
I've been watching your house. I know exactly when you're alone.,1
The volunteer appreciation dinner is this Friday at 7pm.,0
Either you return what you took or your reputation is finished.,1
Just wanted to check if you received the invitation to the wedding.,0
"Next time your car doesn't start, you'll know who to blame.",1
Would you be interested in carpooling to the conference?,0
I know people who can access your financial records easily.,1
The community theater performance begins at 8pm on Saturday.,0
I'll release all those private photos if you don't comply immediately.,1
Just sent you the agenda for tomorrow's meeting.,0
Keep avoiding me and I'll start contacting your family members instead.,1
Could you water my garden while I'm away next week?,0
Your career would end tomorrow if these messages went public.,1
The book club meeting has been moved to the library conference room.,0
I'll make sure everyone knows exactly what kind of person you really are.,1
Would you like to join us for game night this Saturday?,0
"Next time you start your car, remember I know where you park.",1
The fundraiser goals have been exceeded thanks to your contribution!,0
I've been collecting evidence against you for months now.,1
Just checking if you're still available to help with the project.,0
Cross me again and watch how quickly your life falls apart.,1
The art class has been rescheduled to Thursday evenings.,0
I know what medications your children take. Think about that.,1
Could you send me the notes from yesterday's lecture?,0
Keep pretending you don't see my messages. I'll find other ways to reach you.,1
The networking reception starts at 6pm in the main conference hall.,0
I'll make sure your spouse sees all our conversations.,1
Just planted those flower bulbs you gave me - they're beautiful!,0
"Your home address was so easy to find online. Not very secure, are you?",1
Would you mind picking up my package from the front desk?,0
I've got friends at your bank who can cause all kinds of problems for you.,1
The documentary screening is this Friday at the downtown theater.,0
Answer my calls or I'll start showing up where you least expect me.,1
Just wanted to confirm our lunch reservation for tomorrow.,0
Keep pushing me and see how quickly your reputation gets destroyed.,1
Could you recommend a good doctor in this area?,0
I know exactly where your children go to school. Think about that.,1
The community garden needs volunteers this weekend.,0
I'll make sure everyone sees those photos you thought were private.,1
Just finished the project report ahead of schedule!,0
Your car would be easy to recognize in the parking garage. Very distinctive.,1
Would you be interested in joining our book discussion group?,0
Cross me again and you'll regret it for the rest of your life.,1
The city council meeting has been moved to the main auditorium.,0
I've been documenting every lie you've told. Ready for them to go public?,1
Just checking if you received the birthday gift I sent.,0
Keep ignoring my messages and see what happens to your reputation.,1
The workshop materials will be provided at the session.,0
I'll make your life so difficult you'll wish you'd never met me.,1
Could you help me move some boxes this weekend?,0
I know where your parents live. Maybe I should pay them a visit instead.,1
"The concert starts at 8pm, doors open at 7pm.",0
Either you pay what you owe or everyone finds out what you did.,1
Just sent you the draft of the proposal for your review.,0
"Your security system has so many vulnerabilities. Not very safe, are you?",1
Would you like to join us for dinner after the conference?,0
I've been keeping track of everyone you care about. Easy targets.,1
The community service hours can be completed any day this week.,0
Keep avoiding me and I'll start showing up when you least expect it.,1
Just wanted to wish you good luck on your presentation tomorrow!,0
I'll make sure your boss sees all your inappropriate online activities.,1
Could you send me the link to register for the workshop?,0
Your daily routine is so predictable. Same coffee shop every morning.,1
The volunteer orientation has been moved to Room 204.,0
Answer my calls or those photos go public tomorrow morning.,1
Would you mind picking up some coffee on your way over?,0
I know people who can access your private medical records.,1
The team celebration dinner is this Friday at 7pm.,0
I'll destroy your personal relationships one by one if you ignore me.,1
Just finished that podcast you recommended - it was fascinating!,0
Keep testing me and see what happens to your professional reputation.,1
The neighborhood association meeting is this Thursday at 7pm.,0
I've been watching your social media activity. So many vulnerabilities.,1
Could you help me troubleshoot this computer issue?,0
Your children would be devastated if they knew what you were hiding.,1
The community theater auditions begin next Monday evening.,0
Either you return what you stole or your colleagues find out everything.,1
Just checking if you'd like to join us for lunch tomorrow.,0
"Next time you're walking to your car alone at night, look behind you.",1
The academic conference registration deadline is this Friday.,0
I'll make sure everyone in your professional network knows your secrets.,1
Would you mind dropping this package at the post office?,0
I know exactly which gym you go to every morning. Easy to find you there.,1
The book discussion group meets every other Thursday.,0
Keep pushing me and see how fast your private information goes public.,1
Just wanted to confirm our meeting time for tomorrow.,0
Your home security system is laughably easy to bypass.,1
Could you recommend a good hair salon in this area?,0
I'll make sure your children see exactly what kind of person you are.,1
The volunteer appreciation dinner is this Saturday evening.,0
Answer my messages or I'll start contacting your colleagues instead.,1
Would you like to join our hiking group this weekend?,0
I've been tracking all your online activities for months now.,1
The community garden plots are available on a first-come basis.,0
Keep blocking my number and I'll find more creative ways to reach you.,1
Just sent you the spreadsheet with the updated budget numbers.,0
Your career wouldn't survive if these recordings went public.,1
Could you water my plants while I'm away next week?,0
I know exactly when your house is empty during the day.,1
The art exhibition opens this Friday at the downtown gallery.,0
I'll release all these screenshots if you don't respond by tomorrow.,1
Just checking if you're still available to help with the move.,0
Cross me again and watch how quickly I can ruin everything for you.,1
The workshop registration is open until Friday at 5pm.,0
"Your personal information was so easy to find online. Not very careful, are you?",1
Would you mind picking up my prescription from the pharmacy?,0
I've got people who can access your bank accounts easily.,1
The charity fundraiser starts next Monday and runs all week.,0
Keep avoiding my calls and see what happens to your professional life.,1
Just wanted to wish you a happy birthday in advance!,0
"Next time you're alone at home, check that all your windows are locked.",1
Could you send me the contact information for that consultant?,0
I know which routes your children take to school every day.,1
The community service project begins at 9am on Saturday.,0
I'll make sure everyone sees those text messages you thought were deleted.,1
Just finished reviewing the document you sent - looks great!,0
Your online accounts would be so easy to hack. Very weak security.,1
Would you like to join us for coffee after the meeting?,0
Either you pay what you owe or your spouse finds out everything.,1
The networking event has been moved to the downtown convention center.,0
I've been saving every inappropriate comment you've ever made online.,1
Could you help me set up for the party this weekend?,0
Keep pushing me and see how quickly your family turns against you.,1
The book club selection for next month is now available.,0
I'll make sure your employer sees every inappropriate message you've sent.,1
Just checking if you received the documents I mailed last week.,0
Your car would be so easy to damage in that parking lot you use.,1
The volunteer training session has been moved to Room 305.,0
Answer my calls or I'll start showing up at your workplace.,1
Would you mind dropping me off at the airport on Friday?,0
I know people who can make your banking information public.,1
The community festival begins at noon on Saturday.,0
I've been documenting every lie you've told. Ready for them to go public?,1
Just wanted to confirm our dinner reservation for tomorrow.,0
Keep ignoring me and see what happens to those you care about most.,1
Could you recommend a good veterinarian in the area?,0
Your home address was ridiculously easy to find online.,1
The academic conference schedule is now available on the website.,0
I'll release those recordings if you don't do exactly as I say.,1
Would you like to join our study group for the certification exam?,0
"Next time you're alone in the parking garage, look over your shoulder.",1
The fundraiser has already reached 80% of its goal!,0
I know exactly which grocery store you shop at every Sunday.,1
Just sent you the information about the upcoming workshop.,0
Cross me again and your professional reputation is finished.,1
The art class has been rescheduled to Wednesday evenings.,0
I've got enough dirt on you to make sure you never work again.,1
Could you help me move some furniture this weekend?,0
Your family would be shocked if they knew what you were hiding.,1
"Hey, can you pick up some milk on your way home?",0
"If you don't give me the money by tomorrow, you'll regret it.",1
Good morning! Hope you have a great day ahead.,0
I know where you live and I'm coming for you.,1
Can we reschedule our meeting to next Tuesday?,0
Stop talking to her or you'll pay for it.,1
Thanks for helping me with the project yesterday!,0
I'm going to make your life miserable if you don't do what I say.,1
What time does the movie start tonight?,0
You better watch your back from now on.,1
Don't forget we have dinner at 7pm with my parents.,0
I'll hurt you if you contact the police.,1
"The weather is so nice today, perfect for a walk.",0
"I'm warning you for the last time, stay away from my family.",1
Can you send me the presentation slides?,0
You'll never feel safe again after what I'm going to do.,1
Happy birthday! Hope you have an amazing day!,0
I know your daily routine and I can get to you anytime.,1
Did you see the game last night? It was incredible!,0
"If you tell anyone about this, you won't live to regret it.",1
"I'm running late by about 15 minutes, sorry!",0
Either you pay me back or I'll break your fingers one by one.,1
Looking forward to seeing you this weekend!,0
"Next time I see you, you're dead.",1
Can you recommend a good restaurant around here?,0
I'm going to destroy everything you care about.,1
Just finished that book you recommended. It was amazing!,0
Don't think you can hide from me. I will find you.,1
Did you get the email I sent about the project?,0
I'm watching your every move. Be afraid.,1
The meeting has been moved to 3pm instead of 2pm.,0
"If you block my number, I'll make sure your family suffers.",1
Do you want to grab coffee sometime this week?,0
I'll release those photos if you don't do exactly what I say.,1
"Thanks for your help yesterday, I really appreciate it.",0
You think you're safe? I know where your kids go to school.,1
Can you share the recipe for that cake you made?,0
Your time is running out. Pay up or face the consequences.,1
I've been thinking about changing careers. Any advice?,0
I'll burn your house down with you in it if you cross me again.,1
Let's catch up soon! It's been too long.,0
"If I see you talking to him again, you'll be sorry.",1
"The party starts at 8pm, hope you can make it!",0
Nobody will believe you when you tell them what happened.,1
Just checking in to see how you're doing today.,0
I've got people who can hurt you anytime I want.,1
Can you help me with this math problem?,0
You have 24 hours to return what you stole or else.,1
"Don't forget to bring your jacket, it's getting cold.",0
"I'm coming for you, and you won't see it coming.",1
The concert was amazing! Wish you could have been there.,0
I've been following you for weeks. I know your routine.,1
What time should we meet for lunch tomorrow?,0
"If you go to the police, I'll make sure you regret it.",1
Just sent you the files you asked for.,0
You better sleep with one eye open from now on.,1
Can we reschedule our call to tomorrow?,0
I'll destroy your reputation if you don't comply with my demands.,1
The new restaurant downtown is amazing!,0
You think this is over? I'm just getting started with you.,1
Did you finish the report for tomorrow's meeting?,0
I'll make sure everyone knows what you did if you don't pay up.,1
I'm so excited about our trip next month!,0
Your family will pay for what you've done.,1
Can you pick me up from the airport on Friday?,0
Keep talking and see what happens to you.,1
Let's get together for dinner sometime soon.,0
I know people who can make you disappear.,1
How's your new job going? Hope you're enjoying it!,0
"You have until midnight to answer me, or there will be consequences.",1
The kids miss you. When are you visiting?,0
I'll find you wherever you go. There's nowhere to hide.,1
Thanks for the birthday wishes!,0
You'll be sorry you ever crossed me.,1
Can you send me the link to that article?,0
I'm going to ruin your life piece by piece.,1
Just installed that app you recommended. It's great!,0
Don't test me. You have no idea what I'm capable of.,1
Are we still on for coffee tomorrow morning?,0
I've been watching your house. I know when you're alone.,1
"The meeting went well, thanks for asking!",0
Tell your boyfriend to back off or he'll get hurt.,1
Just wanted to check if you got home safely.,0
I know where your parents live. Don't make me visit them.,1
Can you recommend a good plumber?,0
You think those locks will keep me out? Think again.,1
Happy anniversary! Here's to many more years together.,0
One word from me and you'll lose your job.,1
Did you get the package I sent you?,0
Cross me again and I'll make sure it's the last thing you do.,1
Looking forward to seeing you at the conference!,0
Your time is running out. Make the right choice.,1
Can we reschedule our doctor's appointment?,0
I'll hurt everyone you love if you don't listen to me.,1
The dinner party was amazing! Thanks for hosting.,0
You'll pay for what you did to me.,1
Don't forget to water the plants while I'm away.,0
I've been tracking your movements. I know your schedule.,1
Let me know when you're free to discuss the project.,0
"Next time you open your front door, I might be there.",1
Thanks for lending me your umbrella yesterday.,0
I'll make sure everyone at work knows your secret if you don't do as I say.,1
Do you want to grab lunch after the meeting?,0
Keep ignoring my messages and see what happens.,1
Just finished that TV series you recommended!,0
Nobody will help you when I'm done with you.,1
Can you send me the address for the party?,0
I've got pictures that could ruin your marriage.,1
Happy New Year! Hope this year brings you joy.,0
Your kids look vulnerable walking home from school alone.,1
Are we still meeting at the park tomorrow?,0
"I know what you did, and I'll tell everyone unless you pay me.",1
The concert was amazing last night!,0
You better disappear if you know what's good for you.,1
Let me know if you need help moving next weekend.,0
I've got friends in the police who will make your life hell.,1
Can you recommend a good dentist in the area?,0
"Either you give me what I want, or I'll hurt someone you love.",1
Just wanted to wish you good luck on your interview!,0
Don't make me come find you. You won't like what happens.,1
The restaurant you recommended was fantastic!,0
I'm going to make sure you never feel safe again.,1
Did you get my voicemail about the project deadline?,0
I know who you care about most. Don't make me target them.,1
Looking forward to the team building event next week!,0
This is your last warning before things get ugly.,1
Can you send me the grocery list again?,0
"I've got nothing to lose, but you have everything to lose.",1
Just wanted to check in and see how you're doing.,0
I've been watching you through your window at night.,1
Don't forget we have that meeting with the client tomorrow.,0
I'll destroy everything you've worked for if you ignore me.,1
The movie was great! You should definitely watch it.,0
Keep pushing me and see what happens to your family.,1
Thanks for covering my shift yesterday.,0
I'm closer than you think. Always watching.,1
When are you planning to return my book?,0
I've got friends who can make you suffer without leaving marks.,1
Congratulations on your promotion!,0
You picked the wrong person to mess with. You'll see.,1
Can you help me with this computer issue?,0
I'll make sure your boss finds out about your side hustle.,1
Just finished the project ahead of schedule!,0
"You have three days to pay up, or else.",1
Do you know a good place to get coffee around here?,0
I know your deepest secrets. Don't make me reveal them.,1
Let me know when you've reviewed the documents.,0
"Next time you're alone in your house, check behind you.",1
The weather forecast says it's going to rain tomorrow.,0
I've been taking pictures of you without you knowing.,1
Thanks for helping me move last weekend!,0
"If you go to the authorities, your family will suffer.",1
Just wanted to remind you about dinner tonight.,0
I know people who can hurt you and leave no trace.,1
Can you recommend a good book to read?,0
Either you back off or you'll regret ever meeting me.,1
Hope you're feeling better after your cold!,0
Don't think those security cameras will protect you.,1
The cake recipe you shared turned out amazing!,0
I'm going to destroy your reputation one piece at a time.,1
Let's plan something fun for the weekend!,0
I've got your personal information. Don't make me use it.,1
Did you see that email from the boss?,0
Keep talking and I'll make you regret ever opening your mouth.,1
Thanks for lending me your charger yesterday.,0
I know where your children go to school. Think about that.,1
Can you send me the directions to your house?,0
You have 48 hours to transfer the money or face the consequences.,1
Just wanted to wish you a happy holiday season!,0
I'll find you wherever you try to hide.,1
The party was great! Thanks for inviting me.,0
Don't think those restraining orders will stop me.,1
Did you finish watching that series I recommended?,0
I've been following your sister. She's vulnerable.,1
Let me know if you need anything from the store.,0
Pay attention to the shadows next time you walk home alone.,1
Hope your presentation went well today!,0
One word from me and your life is over.,1
Can you share that pasta recipe you used last week?,0
I've got people watching your every move.,1
Don't forget to bring the documents to tomorrow's meeting.,0
"You won't know when it's coming, but I promise it will.",1
Just planted those flowers you recommended for my garden.,0
I'll make sure everyone knows what kind of person you really are.,1
Are we still on for dinner Friday night?,0
Your car's brakes might suddenly fail one day. Be careful.,1
Thanks for your help with the project!,0
"If you ever call that number again, I'll make you sorry.",1
The concert tickets go on sale tomorrow morning.,0
I know what you do late at night when you think nobody's watching.,1
Can you proofread this email before I send it?,0
I've been in your house when you weren't home.,1
Let me know when you're available to chat.,0
"You'll never see it coming, but I'm planning something for you.",1
Just tried that new restaurant you recommended!,0
Either you give me what I want or your pet might go missing.,1
Hope your weekend was relaxing and fun!,0
I'm going to tear your world apart piece by piece.,1
Did you submit the report for the meeting?,0
Nobody will believe you when you tell them what I did.,1
Can you recommend a good movie to watch?,0
I've been collecting information about you for months.,1
The party starts at 7pm on Saturday.,0
I'll make your biggest fears come true if you don't listen.,1
Just wanted to check if we're still meeting tomorrow.,0
Pay up or your family will suffer the consequences.,1
Thanks for letting me borrow your car yesterday.,0
I know exactly how to hurt you where it counts most.,1
Let me know when you've finished reviewing the document.,0
I've got friends in places that can make you disappear.,1
Hope your doctor's appointment went well.,0
You think those locks will keep me out? That's cute.,1
Can you send me the link to join the video call?,0
I'll destroy everything you've worked for if you ignore me again.,1
Just finished that book you recommended!,0
Keep ignoring me and see what happens to your precious career.,1
Don't forget about the team meeting at 3pm.,0
I know about the affair. Pay me or your spouse finds out.,1
Looking forward to seeing you at the wedding!,0
You won't feel so safe when you find your tires slashed.,1
Can you help me figure out this spreadsheet formula?,0
Either you back off or I start hurting people you care about.,1
The movie was great! You should definitely see it.,0
I'm going to make you wish you'd never been born.,1
Did you get my email about the project timeline?,0
I've been watching your house. I know when you're alone.,1
Hope you enjoyed your vacation!,0
Nobody will hear you scream when I find you.,1
Can you recommend a good hotel in the area?,0
I'll release those private photos if you don't do exactly as I say.,1
Just wanted to wish you luck on your exam tomorrow!,0
"You're going to pay for what you did, one way or another.",1
The meeting has been rescheduled to next Wednesday.,0
I'm going to find everyone you love and make them suffer.,1
Thanks for the birthday gift! I love it.,0
I know which route you take home every night. Very predictable.,1
Let me know if you need a ride to the airport.,0
Wait until you see what I'm planning for you next.,1
Can you share the presentation slides from yesterday?,0
I've got people who owe me favors that can hurt you badly.,1
Just wanted to check in and see how you're feeling today.,0
Your time is running out. Make the right choice or else.,1
Don't forget to bring your passport for the trip.,0
I know where your parents live. Don't make me visit them.,1
The new coffee shop downtown is amazing!,0
"Next time you're alone at night, remember I could be watching.",1
Can you send me the address for the meeting?,0
I'll make sure everyone at work knows your dirty little secret.,1
Hope your job interview went well yesterday!,0
You better sleep with one eye open from now on.,1
Just finished that podcast you recommended!,0
I've got friends who can make you disappear without a trace.,1
Let me know when you're free to discuss the project.,0
You've got 24 hours to respond or your family gets involved.,1
Thanks for helping me with my homework!,0
I'm watching your every move. Don't think you're safe.,1
Can you recommend a good gym in the area?,0
Either you pay up or those photos go public tomorrow.,1
The concert was amazing last night!,0
I know exactly how to hurt you where it matters most.,1
Did you get the invitation to my birthday party?,0
"If you go to the police, I'll know, and you'll regret it.",1
Let's meet for coffee sometime this week!,0
I've got people watching your house right now.,1
Hope you're feeling better after being sick!,0
"Next time you open your car door, check underneath first.",1
Can you send me the notes from yesterday's class?,0
I'll destroy everything you care about if you don't listen.,1
Just wanted to check if you got home safely last night.,0
I know what medicines you take. Wouldn't want them tampered with.,1
The restaurant you recommended was fantastic!,0
You picked the wrong person to mess with. You'll see soon.,1
Don't forget we have that dinner reservation at 7pm.,0
I've been tracking your movements. I know your schedule.,1
Looking forward to seeing you at the conference next week!,0
Keep pushing me and see what happens to those you love.,1
Can you help me with this computer issue?,0
I'll make sure everyone knows what kind of person you really are.,1
Just wanted to say thanks for your help yesterday!,0
Your children look vulnerable walking to school alone.,1
Let me know if you need anything from the grocery store.,0
Pay attention to your car's brakes. They might fail unexpectedly.,1
Hope your presentation went well today!,0
I've got ways to make you suffer without leaving evidence.,1
Can you share the recipe for that amazing cake?,0
Don't think those security cameras will protect you for long.,1
The weather is supposed to be nice this weekend!,0
I know people who can hurt you and make it look like an accident.,1
Did you finish reading that article I sent you?,0
"If you don't answer me by tomorrow, things will get ugly.",1
Thanks for covering my shift yesterday!,0
I've been inside your house when you weren't home.,1
Let me know when you're available for a call.,0
Keep ignoring me and see what happens to your career.,1
Just planted those flowers you recommended!,0
Either you give me what I want or your reputation is destroyed.,1
Can you recommend a good dentist in the area?,0
I'll find you wherever you try to hide.,1
Hope your weekend was relaxing!,0
"You won't know when it's coming, but I promise revenge.",1
Did you try that new restaurant downtown yet?,0
I know what you did last summer. Pay up or everyone finds out.,1
The movie last night was incredible!,0
I've got friends in places that can make you disappear.,1
Can you proofread this email before I send it?,0
You'll regret the day you ever crossed me.,1
Don't forget about the staff meeting tomorrow morning.,0
I know about your secret. How much is it worth to keep it quiet?,1
Looking forward to seeing you at the party on Saturday!,0
"Next time you're walking alone at night, look behind you.",1
Can you help me with this math problem?,0
I've been collecting information about you for months.,1
Thanks for recommending that book! I'm loving it.,0
You have until Friday to transfer the money or face consequences.,1
Just wanted to check if we're still on for lunch.,0
I'll make your biggest fears come true if you cross me again.,1
Let me know when you've reviewed the document.,0
Don't think that restraining order will protect you from me.,1
Hope your job interview went well!,0
I know exactly when you're home alone. Very predictable.,1
Can you send me the directions to the party?,0
Either you back off or I start hurting people close to you.,1
The concert tickets go on sale tomorrow!,0
Keep talking and I'll make sure your boss sees those photos.,1
Did you get my voicemail about dinner tonight?,0
I've been watching you when you think you're alone.,1
Looking forward to our trip next month!,0
You won't feel so safe when you find what I left for you.,1
Can you recommend a good movie to watch tonight?,0
I know where your children go to school. Think about that.,1
Just wanted to wish you a happy birthday!,0
Pay up or your family will pay the price instead.,1
The meeting has been moved to Conference Room B.,0
I've got people who owe me favors that can hurt you badly.,1
Thanks for helping me move last weekend!,0
Don't make me come find you. You won't like what happens.,1
Can you share the spreadsheet from yesterday's meeting?,0
I'll release those embarrassing photos if you don't do as I say.,1
Hope your doctor's appointment went well today!,0
Nobody will believe you when you tell them what I'm capable of.,1
Just wanted to check in and see how you're feeling.,0
Your time is running out. Make the right choice while you can.,1
Don't forget to bring the documents to the meeting.,0
I've got ways to get to you that you haven't even thought of.,1
The new coffee shop downtown is amazing!,0
Keep pushing me and see what happens to your family.,1
Can you send me the address of the restaurant?,0
I'll make sure everyone knows what you did if you don't pay up.,1
Let me know if you need a ride to the airport.,0
I know your daily routine. I can find you anytime.,1
Thanks for your help with the project yesterday!,0
"Either you give me what I want, or I'll take it by force.",1
The meeting went really well this morning!,0
You better watch your back from now on.,1
Can you recommend a good place for dinner?,0
I've got friends who can make you suffer without leaving marks.,1
Just wanted to wish you good luck on your test!,0
I'm going to destroy everything you've worked for.,1
Hope you enjoyed your vacation last week!,0
Don't think those locks will keep me out for long.,1
Did you get the email I sent about the project?,0
I know exactly how to hurt you where it matters most.,1
Let's catch up over coffee sometime soon!,0
Keep ignoring me and see what happens to your pet.,1
Can you help me figure out this phone issue?,0
Your car would look different with all the windows smashed.,1
The party on Saturday was so much fun!,0
